Diet Group,Sex,Age Group,Mean Acid,Mean Bio,Mean Eut,Mean Ghgs,Mean Ghgs Ch4,Mean Ghgs N2O,Mean Land,Mean Watscar,Mean Watuse
High meat,male,60-69,54.30725294,567.8906078,39.52417224,14.15335378,2.322873448,1.037984067,32.72438922,23716.88409,746.4975112
High meat,male,70-79,57.61641104,642.4308815,41.5941234,15.67552454,2.49946291,1.14196192,36.96934426,23127.98893,743.4605818
Medium meat,female,20-29,32.98244598,431.9412476,25.49101932,7.885118037,1.443135518,0.536697136,14.28388777,21103.81824,690.3274534
Medium meat,female,30-39,33.89297658,443.5049102,25.92497953,8.204619313,1.487799424,0.548894496,15.07142066,21330.38379,690.4503741
Medium meat,female,40-49,35.67845541,478.0740364,26.78838401,8.800343281,1.595810257,0.585147717,17.09870439,20955.92055,685.1908747
Medium meat,female,50-59,36.3863591,508.27835,27.14904985,9.054869545,1.667387875,0.591699099,17.82852565,21241.67755,689.1643879
Medium meat,female,60-69,36.3527144,498.0052751,27.47213981,8.915065162,1.655521338,0.575471697,17.03583404,21444.48076,685.1699009
Medium meat,female,70-79,36.48928941,481.5669157,27.80357419,9.022600837,1.633646879,0.586404243,17.43857754,21482.48728,670.1343202
Medium meat,male,20-29,35.18672991,406.642762,26.73176201,8.095976824,1.471858052,0.55293784,13.79976847,22909.13086,727.6929869
Medium meat,male,30-39,36.24083538,418.825929,27.66824293,8.407229252,1.515182747,0.565610224,14.58374378,22837.53749,730.4304593
Medium meat,male,40-49,37.05790722,430.8560327,27.64104196,8.823014774,1.561878084,0.606446491,16.81691792,21348.72445,684.155255
Medium meat,male,50-59,37.0847934,428.0171813,27.79685997,8.896671283,1.555745156,0.59292586,17.25050934,20408.29299,663.2397387
Medium meat,male,60-69,37.32733024,458.1289605,28.2743092,9.092314932,1.611256753,0.603033915,17.73229782,21697.98944,686.4940751
Medium meat,male,70-79,37.97890533,435.8752818,28.99192044,9.436040896,1.615470487,0.622637631,18.83745971,20604.34366,649.0415494
Vegan,female,20-29,9.057024837,100.0642806,7.931057593,2.187756919,0.149035637,0.161946613,3.433077491,12548.91461,311.8376356
Vegan,female,30-39,9.311026051,115.0722504,8.23147165,2.337416826,0.169108983,0.171062136,3.624601345,13855.56752,331.820704
Vegan,female,40-49,10.24346577,112.7889385,8.78501458,2.428607138,0.183394567,0.174369696,3.940167173,15118.71117,351.2059728
Vegan,female,50-59,9.762136052,100.9400326,8.337883043,2.27947107,0.132204908,0.171511886,3.780838325,13255.47225,306.8897413
Vegan,female,60-69,9.936346305,117.4043518,8.694258733,2.409980105,0.159439911,0.175032149,4.188908306,13778.63174,317.7568149
Vegan,female,70-79,10.81429193,165.2675173,9.640930955,2.718072133,0.270765538,0.190961587,4.507544143,16195.39129,394.1536445
Vegan,male,20-29,10.96171608,92.98598377,9.165418813,2.561417048,0.147188222,0.1933007,3.854402301,13859.72602,341.647056
Vegan,male,30-39,10.14638924,101.3098684,8.537883242,2.444945042,0.135779481,0.173655057,3.576450556,13681.6212,325.2427046
Vegan,male,40-49,9.851249705,101.4610112,8.599588002,2.401300264,0.130497297,0.174427862,3.670030782,14171.02969,329.3462542
Vegan,male,50-59,9.534502605,105.3889548,8.730649959,2.291364324,0.155857819,0.162617202,3.760214838,12676.45799,309.2163068
Vegan,male,60-69,9.537013363,88.88099028,7.662023079,2.099916384,0.096173232,0.166285285,3.717690721,15338.55022,323.8573594
Vegan,male,70-79,9.527994868,201.0467872,8.764558875,2.79104085,0.397963083,0.197939629,4.84737183,15900.36867,376.4968879
Vegetarian,female,20-29,20.72648979,331.6772597,15.45692093,4.774259433,0.938995669,0.238061513,6.471830878,16418.29414,523.6012988
Vegetarian,female,30-39,20.93045112,351.8665877,15.47068797,4.873474282,0.964433362,0.239845481,6.625031915,16870.84894,534.6700009
Vegetarian,female,40-49,21.22698922,362.4525308,15.64214261,4.932612345,0.989349609,0.235758981,6.856139772,16594.44775,526.8064378
Vegetarian,female,50-59,21.19112571,383.5012272,15.57837911,4.990424392,1.017385644,0.23755948,7.086466156,17069.79236,532.9198393
Vegetarian,female,60-69,21.94665854,401.496037,16.19933041,5.248596715,1.070054984,0.244068327,7.34062683,17107.84299,529.3096576
Vegetarian,female,70-79,22.27285602,379.935277,16.6052668,5.319431246,1.026599308,0.244407888,7.335703265,16393.17154,505.5704421
Vegetarian,male,20-29,23.5968947,290.9058296,17.03606937,5.124649205,0.91990811,0.253633717,6.413901026,18108.95013,554.1274951
Vegetarian,male,30-39,23.10960003,313.795142,16.59052541,5.106977234,0.921180079,0.24784668,6.503197429,17714.07917,548.7361606
Vegetarian,male,40-49,21.89345341,306.104277,16.01856056,4.915119735,0.889580488,0.23706232,6.481843344,17329.07002,529.7799645
Vegetarian,male,50-59,21.25811124,309.7346533,15.72937953,4.830499644,0.871550956,0.233807291,6.562969556,16069.69321,501.0827015
Vegetarian,male,60-69,21.36327986,317.3512229,15.88917242,4.90187634,0.88293382,0.232978689,6.730966262,16609.90761,499.9490439
Vegetarian,male,70-79,22.34479899,330.0284334,16.86057481,5.162715223,0.927529233,0.242174965,6.902704456,16945.88582,513.8445327
Fish eater,female,20-29,20.65757969,568.0922835,25.82631496,6.053490363,1.369990188,0.437542583,8.975446944,14404.7119,793.9782772
Fish eater,female,30-39,21.06141505,573.0493748,26.46208819,6.123588283,1.365620774,0.445708144,8.948091381,14583.13637,789.4741171
Fish eater,female,40-49,21.72206466,580.2788466,26.49606073,6.141955983,1.371146998,0.454826451,8.938018716,14429.30369,770.0512211
Fish eater,female,50-59,22.68184042,558.2950068,27.18086844,6.127915103,1.341727688,0.45755269,8.901639997,15010.09908,788.2753169
Fish eater,female,60-69,23.26001052,575.9064493,28.48559804,6.283756773,1.414394005,0.476709033,9.235391858,15489.99851,820.2504803
Fish eater,female,70-79,22.3141172,578.4009048,27.54457936,6.139842263,1.39516576,0.487500343,9.180381506,15250.32994,785.4477331
Fish eater,male,20-29,22.90115864,580.6297427,30.37765383,6.745818366,1.431723231,0.482405531,9.936459756,15776.19821,881.1869462
Fish eater,male,30-39,22.1739195,538.4897496,28.60674636,6.304433088,1.310124513,0.45007851,9.22881437,15074.46065,838.833339
Fish eater,male,40-49,21.68185335,529.1392447,27.71629777,6.152837453,1.283809068,0.441489017,9.006793713,14318.85493,787.2260499
Fish eater,male,50-59,23.03734186,537.4412547,28.4326568,6.184301507,1.287065576,0.457661809,8.836782906,14501.9083,781.2035228
Fish eater,male,60-69,22.28460976,527.9536526,29.1049659,6.14847142,1.317316128,0.491805958,8.974476391,15243.49629,796.8993189
Fish eater,male,70-79,23.63700949,524.9430449,30.43458914,6.181697365,1.340033183,0.471262159,9.322519612,15309.19185,791.5266191
Low meat,female,20-29,23.59116065,540.185066,30.47737632,6.465312886,1.469404775,0.480812595,11.02391198,14469.98377,775.2740892
Low meat,female,30-39,24.11621979,527.1819634,30.79323572,6.51596475,1.459327722,0.486825931,10.71904303,15038.36214,776.0788184
Low meat,female,40-49,24.61180805,534.5315492,31.04359858,6.692614071,1.502852306,0.499299164,11.11560193,14802.50349,764.5013193
Low meat,female,50-59,25.72183122,519.623892,31.64609789,6.786406443,1.525694191,0.507952877,11.2710128,15471.37275,780.6201074
Low meat,female,60-69,26.13470956,549.6405573,32.7473103,6.94339334,1.610980499,0.518169489,11.53588272,15740.31948,799.6844665
Low meat,female,70-79,25.53523608,553.7635034,32.90833411,6.917264955,1.637842097,0.519384902,11.57409613,15962.21602,799.5208383
Low meat,male,20-29,24.48811558,493.5423381,33.86957573,6.567606464,1.452350011,0.489159931,11.42669001,14831.32789,776.7200568
Low meat,male,30-39,25.22021068,520.4262722,34.25340987,6.831137109,1.495499342,0.511013151,11.15906213,15780.49159,834.1003245
Low meat,male,40-49,25.19669103,510.1973228,32.69184356,6.775949965,1.474319632,0.502034068,11.22181461,14777.33724,767.5437953
Low meat,male,50-59,25.88014721,514.0564763,32.96612152,6.848270525,1.513085939,0.528243548,11.28549414,14895.9987,772.4646527
Low meat,male,60-69,25.72961424,511.5453845,32.97198011,6.865469583,1.551370645,0.527258704,11.63230718,15247.13756,788.2904963
Low meat,male,70-79,27.22773235,556.1764194,34.2540303,7.110858266,1.654326592,0.524429115,12.03982952,15534.25821,800.4754253
High meat,female,20-29,44.25177238,608.7964102,56.30669918,11.70784297,2.590939659,0.848496911,27.58861565,19360.75449,988.3793729
High meat,female,30-39,42.60927265,577.753834,52.02243717,11.93461132,2.609639797,0.863127613,27.75239653,19349.69783,954.0812257
High meat,female,40-49,45.122502,614.5442378,53.80054153,13.15833684,2.895211826,0.935942164,31.76338608,18979.73226,931.7607116
High meat,female,50-59,45.81534694,609.9745257,52.52140227,13.56192601,2.992043213,0.949726696,32.74981954,19289.17509,933.2878015
High meat,female,60-69,45.66635132,576.7527481,52.00454857,13.38062699,2.955106824,0.943491901,32.35951851,19796.92727,937.2518572
High meat,female,70-79,47.0249676,567.9584217,53.22642452,13.76238385,3.088444236,0.981495598,33.60267678,20154.40467,931.8399153
High meat,male,20-29,53.68218108,604.4815502,75.81853391,13.07769181,2.931553865,0.975801408,32.41399594,21355.10046,1076.620888
High meat,male,30-39,46.63674174,560.5703767,60.57710758,12.36215214,2.68461396,0.918547727,29.26268186,19997.62726,993.6523863
High meat,male,40-49,46.37215189,556.7869793,58.11585926,12.79868792,2.784487165,0.930639687,31.0606876,18611.43301,902.8510396
High meat,male,50-59,45.99546142,555.4739171,55.68270046,13.11884865,2.872426935,0.944361016,31.65075243,19201.79929,915.1815317
High meat,male,60-69,45.02499665,544.8994932,52.2586359,12.84212394,2.861062769,0.947610232,30.39647653,19847.74781,923.8272275
High meat,male,70-79,47.20566078,559.3646291,53.4638265,13.80708566,3.066199405,0.991776946,33.78554422,20729.99379,942.5903279
Medium meat,female,20-29,29.77616545,528.7531214,38.60496926,7.968661325,1.773462565,0.598533661,15.23258097,16818.55239,866.5919085
Medium meat,female,30-39,30.04641285,520.0634912,38.35337781,8.165573457,1.814031673,0.609515427,15.5960974,16837.74919,848.2140021
Medium meat,female,40-49,31.43313308,548.1789897,39.15004577,8.716528843,1.944933445,0.638123765,17.18064799,16566.40483,836.8394374
Medium meat,female,50-59,31.87318693,543.2085317,38.36348449,8.851001849,1.982079548,0.649877106,17.373857,16836.66976,831.6481217
Medium meat,female,60-69,32.04465059,531.5216589,38.78144307,8.670932522,1.965239141,0.6418764,16.74299716,17591.58209,863.5732267
Medium meat,female,70-79,31.98649334,526.3544161,39.34168986,8.686907193,1.981481926,0.663734947,17.14177386,17715.4511,850.0561014
Medium meat,male,20-29,31.83156405,499.109415,42.73180169,8.108696534,1.75784878,0.602228183,15.38839232,17319.41879,906.7176863
Medium meat,male,30-39,32.29755613,545.800883,43.29406872,8.517657517,1.880249418,0.654637213,16.03488315,17440.53074,906.0437706
Medium meat,male,40-49,32.60922981,521.2628629,42.35240543,8.728700768,1.897084219,0.651268556,17.53540879,16329.52532,814.5171566
Medium meat,male,50-59,32.50978225,498.1251312,39.87599713,8.719828437,1.903928459,0.650730062,17.40246726,16468.58039,830.9789011
Medium meat,male,60-69,31.92793424,472.6884697,39.8818626,8.670898756,1.909677776,0.645415782,17.29768623,17055.34806,834.6124232
Medium meat,male,70-79,32.89948879,503.8420017,40.73041295,9.012046014,2.037080415,0.674285416,18.58868594,17190.1939,824.9465529
Vegan,female,20-29,11.14937817,141.005672,14.10592869,2.596500172,0.192333416,0.291172022,3.938022509,9698.485603,366.4649105
Vegan,female,30-39,11.660652,161.5444905,14.85834237,2.798099205,0.218535755,0.314577356,4.148174118,9826.108835,374.0359592
Vegan,female,40-49,12.80748159,204.0254564,16.23822744,3.090497737,0.285307209,0.330492757,4.773689478,10184.34596,406.7344124
Vegan,female,50-59,12.14970202,171.883723,14.63069874,2.846668857,0.221833204,0.33436903,4.334019604,10406.83998,362.5287057
Vegan,female,60-69,12.52992753,164.0074934,16.19207851,2.898270395,0.208931948,0.333381184,4.593483022,10496.47145,368.4188728
Vegan,female,70-79,13.22536831,193.4339833,17.55709251,3.18042633,0.2886543,0.339346786,4.655642882,9625.240649,415.0800349
Vegan,male,20-29,13.41777321,143.8331352,19.00246269,3.018233151,0.19840102,0.311767912,4.872581769,10726.80093,439.5400455
Vegan,male,30-39,12.46180888,150.8320557,16.64923517,2.936957849,0.191532333,0.314536658,4.455611408,9932.371131,393.2634375
Vegan,male,40-49,12.66111208,172.9985619,16.88276205,3.024673744,0.2128081,0.334510828,4.613461838,9821.511626,398.7618438
Vegan,male,50-59,11.95589025,152.1264116,16.33254593,2.785907105,0.197082612,0.324688934,4.296102075,9591.155264,356.5928606
Vegan,male,60-69,12.39642318,125.3151037,17.12867549,2.585462661,0.144252086,0.325102682,4.275823534,10473.20546,402.4407998
Vegan,male,70-79,12.42795664,133.9214273,16.29046414,2.714668052,0.192968964,0.287732948,4.496092288,9132.993041,376.4597988
Vegetarian,female,20-29,18.29764945,602.5578012,21.80511893,5.582291892,1.322506849,0.425566788,8.727175614,11927.12972,577.1339495
Vegetarian,female,30-39,18.79939329,593.798357,22.45124774,5.58485347,1.29516136,0.43305241,8.565403286,12054.5368,571.1428228
Vegetarian,female,40-49,19.63564742,606.3094084,22.58355726,5.67566373,1.308605865,0.440978003,8.703516866,12016.72028,564.4650829
Vegetarian,female,50-59,20.01022402,599.0772244,22.98440278,5.670350132,1.292627764,0.45391939,8.63369806,12411.06528,567.8485259
Vegetarian,female,60-69,20.38511405,626.1218392,23.46782165,5.797552342,1.371568039,0.457771207,9.027022456,12363.35932,583.3762405
Vegetarian,female,70-79,20.4951873,645.6848322,23.99125407,5.851228705,1.404269415,0.475495733,9.341849928,12779.83889,600.602287
Vegetarian,male,20-29,20.19912439,620.3458408,24.787869,6.089015527,1.3976992,0.449291562,9.49940571,12607.40234,637.6440257
Vegetarian,male,30-39,20.3329794,587.1437953,24.62964037,5.899473521,1.302236789,0.443298292,9.081395533,12324.8489,606.1890845
Vegetarian,male,40-49,19.93277289,552.9506441,24.52041613,5.663830973,1.224391502,0.440394785,8.734831553,12099.01016,583.2557427
Vegetarian,male,50-59,19.70618964,530.5416496,23.77480485,5.460274301,1.175117444,0.440145245,8.438597311,12047.13906,560.2973847
Vegetarian,male,60-69,19.87994327,573.3574135,24.56293357,5.615294339,1.247611635,0.474375431,8.740068574,12274.08874,582.992114
Vegetarian,male,70-79,20.44609898,582.800744,25.487479,5.717732814,1.307749825,0.491713866,8.891171768,12876.67098,598.9884153
Fish eater,female,20-29,21.68479984,309.7030133,17.78288001,4.713846608,0.756432227,0.354097302,6.737663428,15912.67562,490.0375588
Fish eater,female,30-39,22.3098569,318.9071517,18.06460081,4.84262453,0.755358513,0.362445209,6.861151589,15698.23626,492.4975133
Fish eater,female,40-49,22.67249168,329.8708006,18.22520557,4.845208475,0.76449139,0.358248306,6.972566113,15937.87204,493.940204
Fish eater,female,50-59,23.35398186,328.069554,18.16141732,4.839581959,0.749460523,0.356286471,6.993885153,16376.84798,502.620911
Fish eater,female,60-69,23.680993,329.8979102,18.51810383,4.843342591,0.777461824,0.368555444,7.18755672,16852.27485,518.7606668
Fish eater,female,70-79,22.66334933,316.8554111,18.37846846,4.691864882,0.748127794,0.354901138,7.149164727,16403.77923,498.5367689
Fish eater,male,20-29,23.47574147,355.6895791,20.32870928,5.519177006,0.841603607,0.430424592,7.639462694,17482.18781,564.109743
Fish eater,male,30-39,22.75203294,356.8004493,19.95361724,5.326478464,0.782607546,0.400313665,7.467398358,15911.81386,516.5322781
Fish eater,male,40-49,22.45418959,338.7720728,19.43361784,5.235943107,0.771002586,0.385175819,7.212726882,15599.60329,503.346454
Fish eater,male,50-59,23.3386878,337.9819065,19.22174065,5.184470691,0.753651005,0.372275218,7.097020006,15378.3138,495.5992434
Fish eater,male,60-69,22.81547628,332.3216308,18.8814471,4.959169091,0.763341669,0.380054174,7.263991972,16516.07499,505.5346253
Fish eater,male,70-79,23.92128131,321.582041,19.47837874,5.032757376,0.784593483,0.37336347,7.524034471,15583.41432,498.8268896
Low meat,female,20-29,23.14848081,325.4006028,19.91783118,5.074756976,0.919864239,0.401618634,7.322058677,16684.03018,513.735746
Low meat,female,30-39,24.19995885,327.084868,20.52989515,5.253044964,0.921012727,0.406430271,7.449047286,16037.80251,504.960794
Low meat,female,40-49,24.62449519,334.291294,20.98624195,5.356085978,0.963499062,0.418115845,7.523355984,16436.69858,507.5089752
Low meat,female,50-59,25.57408272,329.820702,21.06271619,5.39192701,0.99075329,0.423961866,7.530731133,17423.35855,520.451733
Low meat,female,60-69,26.28025937,326.7890611,21.49462575,5.460273941,1.027492328,0.434128394,7.694904935,17622.98691,526.5051106
Low meat,female,70-79,25.36913253,316.4625852,21.07163382,5.283023131,1.018475171,0.43473686,7.504498114,17581.20434,517.7536548
Low meat,male,20-29,23.44538765,369.6811218,22.10329191,5.554874201,1.013262848,0.463490252,8.019484735,17944.12732,535.243843
Low meat,male,30-39,24.66792951,356.4497684,22.15208864,5.681319396,0.991515933,0.460662242,7.925796837,17114.44277,536.8978489
Low meat,male,40-49,24.72437497,344.6053794,22.56344017,5.694996643,0.997182399,0.444218766,7.801872259,16452.26399,513.6306055
Low meat,male,50-59,25.58304293,351.6551102,22.65923101,5.666734226,1.026638527,0.446263729,7.926628495,17278.64406,522.6503404
Low meat,male,60-69,25.30536796,335.9457034,22.51284205,5.50584744,1.016637005,0.441435586,7.914232076,17331.03464,519.4287797
Low meat,male,70-79,26.68634936,327.2433967,22.72871519,5.607303173,1.060472181,0.435457082,8.122265703,17962.66565,532.5305691
High meat,female,20-29,37.48593508,405.6599298,37.8584725,8.524250165,1.918383983,0.696182107,12.67149252,24782.64471,745.5500765
High meat,female,30-39,36.90984246,413.7918198,38.24342447,8.698506948,1.976287148,0.724913496,12.74244449,24688.8765,742.7043975
High meat,female,40-49,36.7014682,422.1360448,39.40142975,8.977275868,2.178705809,0.768962012,13.45638931,26434.49987,767.241047
High meat,female,50-59,37.22255416,412.1829511,39.62323937,9.091951166,2.254019217,0.775853348,13.72275657,26854.7813,777.577059
High meat,female,60-69,37.20307577,401.6494598,38.88862124,8.975463065,2.240706296,0.767046542,13.71197715,27259.77255,778.7767905
High meat,female,70-79,37.10785212,395.2556228,39.85053604,9.165760262,2.374439882,0.787596332,14.16712925,27402.81441,786.2659913
High meat,male,20-29,40.12181355,460.5116043,46.83891537,9.985895424,2.375656254,0.876440573,15.05688944,28389.88337,854.2035986
High meat,male,30-39,37.29960924,457.6005049,43.10465526,9.364967155,2.140454491,0.803852493,14.116923,25300.85873,776.8612904
High meat,male,40-49,36.13335031,443.0571715,43.25728385,9.386969445,2.246851761,0.807560106,14.21967842,26315.83344,764.2327525
High meat,male,50-59,37.0281075,422.5344423,42.65201144,9.391430427,2.277468741,0.812399991,14.26686537,27580.81325,785.5121719
High meat,male,60-69,36.97329978,413.9371408,42.35658242,9.213077436,2.258271909,0.792196679,14.27952977,27325.45854,782.2542743
High meat,male,70-79,36.61104707,407.6194672,43.77208428,9.489350261,2.408718966,0.815202576,14.94219432,28379.08278,810.5845436
Medium meat,female,20-29,29.30418832,347.5845629,26.42898826,6.343222137,1.226490642,0.508927055,8.874929453,19239.15107,591.0797225
Medium meat,female,30-39,29.57816625,366.8516424,27.17178,6.551079102,1.286398355,0.528310911,9.121834763,19068.17533,584.8927192
Medium meat,female,40-49,30.40887382,368.6149943,27.92415605,6.756973257,1.373589022,0.548479196,9.414591904,19649.07828,590.9927262
Medium meat,female,50-59,30.88663224,361.5991534,27.58501803,6.735846598,1.395745519,0.548676817,9.435789883,20116.51211,595.0806705
Medium meat,female,60-69,31.30058395,354.9211728,27.4056544,6.653908972,1.38003757,0.543305173,9.430745981,20577.89059,600.3214144
Medium meat,female,70-79,30.46160619,356.1413036,27.70430198,6.599306847,1.394383353,0.54736029,9.776744751,20339.60371,598.4553359
Medium meat,male,20-29,30.03357807,392.5037048,28.1528549,6.86287309,1.308591883,0.561258462,9.393566854,20237.87907,624.7902791
Medium meat,male,30-39,30.6519405,401.1517257,30.02611256,7.087578423,1.377280504,0.581792607,9.935761025,19615.90704,619.1113054
Medium meat,male,40-49,30.15379592,394.4203291,30.04164715,7.122044576,1.43381982,0.590278531,10.05069926,20668.38857,604.5538857
Medium meat,male,50-59,30.23984473,371.1359717,29.56992487,6.97178985,1.418786475,0.56296497,9.799153276,20681.48069,605.0480553
Medium meat,male,60-69,30.25187173,358.1487242,29.48927911,6.906963026,1.436985134,0.57284967,9.964264636,21096.8024,613.2356254
Medium meat,male,70-79,29.22400607,344.7894186,29.90693319,6.850632158,1.488657924,0.572680859,10.10768706,21147.49622,611.3131454
Vegan,female,20-29,10.4019477,248.7142569,9.594520068,2.591594128,0.145075875,0.196748843,5.725273349,10389.34328,298.3597914
Vegan,female,30-39,11.13672709,280.843409,10.17240262,2.797237802,0.160153016,0.213990402,6.103263723,10192.01771,313.386655
Vegan,female,40-49,12.21980484,282.5683176,11.02953615,3.036799159,0.193086932,0.235215752,6.203918442,10764.43506,337.7580071
Vegan,female,50-59,11.8328462,291.1592708,10.46946775,2.746850946,0.154288427,0.214139719,6.28185628,11964.65246,314.5585727
Vegan,female,60-69,12.69118644,303.8947386,11.37016604,2.911232672,0.157293107,0.226565679,6.886874144,10779.86443,310.5175722
Vegan,female,70-79,12.78785819,263.7330482,11.7809134,3.148337773,0.211486988,0.237242332,6.296725207,10380.05028,355.2037253
Vegan,male,20-29,11.64711255,303.1984108,11.22457074,3.057398571,0.174103555,0.238920132,6.76373673,11968.57848,337.8732134
Vegan,male,30-39,11.15466049,296.8895832,10.71761278,2.940492144,0.157384188,0.224275621,6.410289621,10064.99691,307.528696
Vegan,male,40-49,11.65715015,308.2247201,10.98596071,3.047696311,0.166374992,0.2372322,6.396728678,10346.20169,322.6561129
Vegan,male,50-59,11.51104214,307.781677,11.12174593,2.802175292,0.154983734,0.216259533,6.417999972,10654.69632,291.550074
Vegan,male,60-69,11.59135164,290.2725556,10.07754003,2.597008028,0.107875543,0.209224214,6.55141514,11481.40142,333.3931701
Vegan,male,70-79,11.56104812,240.4937672,10.50567187,2.817045643,0.148241982,0.206485594,5.910270438,9394.371574,318.0215036
Vegetarian,female,20-29,19.47658512,309.7553577,16.03572567,4.245000612,0.722766856,0.317534209,6.711238862,15185.59223,435.355314
Vegetarian,female,30-39,20.15786151,322.6389456,16.48225112,4.398114558,0.727512399,0.326292634,6.887413647,14672.06493,432.0585972
Vegetarian,female,40-49,20.8181376,333.0284793,16.74400713,4.438896831,0.729788663,0.320118649,7.046915063,14986.50952,436.3827666
Vegetarian,female,50-59,21.04013379,333.9602,16.38998789,4.361157706,0.717384592,0.318872989,7.114951323,15327.2732,442.4874039
Vegetarian,female,60-69,21.1942692,321.6977683,16.77547847,4.360910876,0.747119487,0.317666216,7.073118663,15636.99919,454.5733657
Vegetarian,female,70-79,20.73992878,308.9154118,17.19751626,4.327927632,0.737008709,0.31311163,7.028364104,15379.7822,444.0501988
Vegetarian,male,20-29,20.82563115,355.765847,18.28596221,4.846615072,0.809105113,0.368012493,7.385371071,16773.46883,475.5965893
Vegetarian,male,30-39,20.98695536,363.2565995,18.2401618,4.883305064,0.776745315,0.364315246,7.452843035,15227.77181,453.2656129
Vegetarian,male,40-49,20.35557646,338.1389127,17.67337527,4.688670103,0.729807275,0.345725457,7.25602959,14509.84755,437.8125982
Vegetarian,male,50-59,20.08569063,327.8326005,17.15348548,4.466410437,0.692675038,0.325149451,7.203082571,14409.66595,422.4904222
Vegetarian,male,60-69,20.38277883,336.29253,17.41015536,4.462342439,0.693411263,0.330626159,7.384120593,14414.56189,431.7423119
Vegetarian,male,70-79,20.70171338,313.4305581,18.03082713,4.463379558,0.733353226,0.327190586,7.34497038,14533.53073,440.6770303
Fish eater,female,20-29,22.34635331,153.6574594,19.89722572,4.184224433,0.702210864,0.254101166,5.828510219,16445.65248,537.4009479
Fish eater,female,30-39,23.12575547,159.164076,19.83831907,4.256423867,0.694096391,0.248943734,5.939608185,17480.10971,552.7969465
Fish eater,female,40-49,23.33115427,160.6359417,19.56826637,4.230945806,0.690667412,0.255592111,5.916096353,17668.23684,543.1722119
Fish eater,female,50-59,23.371203,156.5777022,19.92248425,4.203842107,0.681295094,0.270450293,5.888821768,18757.09629,557.2495744
Fish eater,female,60-69,24.37560118,164.1164267,20.64712558,4.373143176,0.705559338,0.275860755,6.146311194,19444.99371,558.6406359
Fish eater,female,70-79,24.05862953,166.5511865,20.40770339,4.34891353,0.663709174,0.259168948,6.24186591,18852.49102,532.5780069
Fish eater,male,20-29,25.7109898,169.4807113,22.60618877,5.000152412,0.785704226,0.287561499,6.758649959,19204.34411,642.6154751
Fish eater,male,30-39,24.54569908,169.0498398,21.43513516,4.710383156,0.711183563,0.266139095,6.438103156,19704.29613,613.3200699
Fish eater,male,40-49,24.0929297,169.4135444,20.61189587,4.648709777,0.696492745,0.25831442,6.413206363,18493.26012,576.8316314
Fish eater,male,50-59,23.96632776,161.9795525,20.34908879,4.50916662,0.679104069,0.27162437,6.098350294,20085.39228,581.1469701
Fish eater,male,60-69,24.42688101,170.300471,20.96477029,4.585994113,0.693989681,0.268293921,6.542175569,19959.53683,562.876722
